fit_algorithm,n_process,time
FirstFit,1,0.07663226127624512
FirstFit,2,0.07399320602416992
FirstFit,3,0.07516002655029297
FirstFit,4,0.07088327407836914
FirstFit,5,0.173753023147583
FirstFit,6,0.07131338119506836
FirstFit,7,0.0819704532623291
FirstFit,8,0.07226300239562988
FirstFit,9,0.07104682922363281
FirstFit,10,0.07022714614868164
BestFit,1,0.07233142852783203
BestFit,2,0.07508039474487305
BestFit,3,0.07158851623535156
BestFit,4,0.07285547256469727
BestFit,5,0.07165050506591797
BestFit,6,0.07160806655883789
BestFit,7,0.07095193862915039
BestFit,8,0.07458305358886719
BestFit,9,0.08477234840393066
BestFit,10,0.07432675361633301
WorstFit,1,0.07062983512878418
WorstFit,2,0.0768122673034668
WorstFit,3,0.08213424682617188
WorstFit,4,0.07872962951660156
WorstFit,5,0.1186368465423584
WorstFit,6,0.07860922813415527
WorstFit,7,0.07272815704345703
WorstFit,8,0.08004903793334961
WorstFit,9,0.09389114379882812
WorstFit,10,0.07111811637878418
